id,productId,date,note,createdAt,updatedAt
119,119,2004-04-28,,2022-11-26,2022-11-26
120,120,2004-04-29,,2022-11-26,2022-11-26
121,121,2004-04-30,,2022-11-26,2022-11-26
122,122,2004-05-01,,2022-11-26,2022-11-26
123,123,2004-05-02,,2022-11-26,2022-11-26
124,124,2004-05-03,,2022-11-26,2022-11-26
125,125,2004-05-04,,2022-11-26,2022-11-26
126,126,2004-05-05,,2022-11-26,2022-11-26
127,127,2004-05-06,,2022-11-26,2022-11-26
128,128,2004-05-07,,2022-11-26,2022-11-26
129,129,2004-05-08,,2022-11-26,2022-11-26
130,130,2004-05-09,,2022-11-26,2022-11-26
131,131,2004-05-10,,2022-11-26,2022-11-26
132,132,2004-05-11,,2022-11-26,2022-11-26
133,133,2004-05-12,,2022-11-26,2022-11-26
134,134,2004-05-13,,2022-11-26,2022-11-26
135,135,2004-05-14,,2022-11-26,2022-11-26
136,136,2004-05-15,,2022-11-26,2022-11-26
137,137,2004-05-16,,2022-11-26,2022-11-26
138,138,2004-05-17,,2022-11-26,2022-11-26
139,139,2004-05-18,,2022-11-26,2022-11-26
140,140,2004-05-19,,2022-11-26,2022-11-26
141,141,2004-05-20,,2022-11-26,2022-11-26
142,142,2004-05-21,,2022-11-26,2022-11-26
143,143,2004-05-22,,2022-11-26,2022-11-26
144,144,2004-05-23,,2022-11-26,2022-11-26
145,145,2004-05-24,,2022-11-26,2022-11-26
146,146,2004-05-25,,2022-11-26,2022-11-26
147,147,2004-05-26,,2022-11-26,2022-11-26
148,148,2004-05-27,,2022-11-26,2022-11-26
149,149,2004-05-28,,2022-11-26,2022-11-26
150,150,2004-05-29,,2022-11-26,2022-11-26
151,151,2004-05-30,,2022-11-26,2022-11-26
152,152,2004-05-31,,2022-11-26,2022-11-26
153,153,2004-06-01,,2022-11-26,2022-11-26
154,154,2004-06-02,,2022-11-26,2022-11-26
155,155,2004-06-03,,2022-11-26,2022-11-26
156,156,2004-06-04,,2022-11-26,2022-11-26
157,157,2004-06-05,,2022-11-26,2022-11-26
158,158,2004-06-06,,2022-11-26,2022-11-26
159,159,2004-06-07,,2022-11-26,2022-11-26
160,160,2004-06-08,,2022-11-26,2022-11-26
161,161,2004-06-09,,2022-11-26,2022-11-26
162,162,2004-06-10,,2022-11-26,2022-11-26
163,163,2004-06-11,,2022-11-26,2022-11-26
164,164,2004-06-12,,2022-11-26,2022-11-26
165,165,2004-06-13,,2022-11-26,2022-11-26
166,166,2004-06-14,,2022-11-26,2022-11-26
167,167,2004-06-15,,2022-11-26,2022-11-26
168,168,2004-06-16,,2022-11-26,2022-11-26
169,169,2004-06-17,,2022-11-26,2022-11-26
170,170,2004-06-18,,2022-11-26,2022-11-26
171,171,2004-06-19,,2022-11-26,2022-11-26
172,172,2004-06-20,,2022-11-26,2022-11-26
173,173,2004-06-21,,2022-11-26,2022-11-26
174,174,2004-06-22,,2022-11-26,2022-11-26
175,175,2004-06-23,,2022-11-26,2022-11-26
176,176,2004-06-24,,2022-11-26,2022-11-26
177,177,2004-06-25,,2022-11-26,2022-11-26
178,178,2004-06-26,,2022-11-26,2022-11-26
179,179,2004-06-27,,2022-11-26,2022-11-26
180,180,2004-06-28,,2022-11-26,2022-11-26
181,181,2004-06-29,,2022-11-26,2022-11-26
182,182,2004-06-30,,2022-11-26,2022-11-26
183,183,2004-07-01,,2022-11-26,2022-11-26
184,184,2004-07-02,,2022-11-26,2022-11-26
185,185,2004-07-03,,2022-11-26,2022-11-26
186,186,2004-07-04,,2022-11-26,2022-11-26
187,187,2004-07-05,,2022-11-26,2022-11-26
188,188,2004-07-06,,2022-11-26,2022-11-26
189,189,2004-07-07,,2022-11-26,2022-11-26
190,190,2004-07-08,,2022-11-26,2022-11-26
191,191,2004-07-09,,2022-11-26,2022-11-26
192,192,2004-07-10,,2022-11-26,2022-11-26
193,193,2004-07-11,,2022-11-26,2022-11-26
194,194,2004-07-12,,2022-11-26,2022-11-26
195,195,2004-07-13,,2022-11-26,2022-11-26
196,196,2004-07-14,,2022-11-26,2022-11-26
197,197,2004-07-15,,2022-11-26,2022-11-26
198,198,2004-07-16,,2022-11-26,2022-11-26
199,199,2004-07-17,,2022-11-26,2022-11-26
200,200,2004-07-18,,2022-11-26,2022-11-26
201,201,2004-07-19,,2022-11-26,2022-11-26
